nem;basinc;yagmur
45;639;0
42;797;1
74;271;0
77;886;1
67;748;1
81;320;0
79;571;1
69;472;1
66;354;0
65;514;1
76;484;0
85;913;1
31;486;0
86;599;0
58;582;0
85;414;0
100;513;0
76;779;1
94;821;1
63;673;1
39;654;1
22;939;1
23;855;0
54;630;1
70;700;1
26;694;0
89;569;1
66;241;0
29;747;1
63;806;1
34;930;1
53;248;0
80;602;1
42;624;0
88;582;0
30;572;1
50;487;0
93;426;0
90;357;0
99;523;0
33;470;0
86;558;1
47;963;1
31;842;1
55;637;0
89;304;0
27;967;1
75;205;0
27;413;0
88;266;0
32;593;0
34;626;0
26;422;0
94;550;0
60;515;0
49;538;0
81;465;0
28;312;0
42;682;1
31;223;0
73;383;0
26;590;0
89;591;0
63;529;1
53;203;0
21;392;0
37;613;1
54;809;1
34;534;1
79;249;0
56;815;1
66;530;0
40;944;1
34;277;0
87;937;1
20;574;0
83;231;0
99;544;0
73;913;1
91;215;0
81;401;0
39;476;0
62;320;0
78;449;1
56;756;1
78;901;1
76;428;0
60;795;0
23;891;1
50;916;1
35;604;0
63;924;1
57;480;1
65;643;1
42;629;0
24;594;0
40;562;0
49;329;0
35;737;1
91;796;1
73;680;0
99;259;0
56;518;1
24;494;0
83;574;1
65;797;1
76;904;1
70;724;1
20;923;1
24;316;0
46;308;0
48;205;0
58;666;1
59;394;0
61;440;0
98;897;1
42;358;0
100;259;0
34;396;0
97;984;1
83;571;1
97;697;1
31;481;0
47;403;0
77;741;1
88;771;1
82;254;0
95;637;0
25;308;0
83;393;0
35;910;1
63;576;1
86;747;0
50;603;0
49;313;0
21;518;1
34;842;1
94;425;0
58;706;1
72;700;0
32;399;0
99;532;0
82;956;1
95;556;1
21;724;1
66;864;1
83;884;1
28;634;0
93;880;1
78;372;0
70;600;1
20;783;1
49;391;0
61;373;0
60;358;0
25;509;0
40;581;0
57;930;1
79;305;0
82;688;0
42;354;0
28;240;0
33;803;1
88;465;0
76;690;0
50;618;0
90;570;1
49;477;0
52;206;0
41;887;1
98;438;0
93;753;1
57;976;1
63;573;0
89;656;0
54;940;1
44;564;0
84;351;0
79;732;1
94;502;0
67;601;0
93;806;1
37;409;0
35;746;1
86;315;0
93;950;1
91;257;0
58;353;0
95;850;1
83;932;1
44;945;1
33;800;1
65;392;0
59;902;1
71;976;1
71;393;0
28;722;0
25;713;1
73;388;0
52;498;0
86;227;0
77;595;1
78;544;0
39;463;0
51;448;0
64;541;0
33;960;1
22;374;0
58;458;0
90;369;0
25;836;1
32;786;1
37;635;1
44;440;0
38;895;0
82;847;1
23;250;0
59;296;0
58;472;0
65;703;1
27;479;0
86;229;0
28;980;1
25;452;0
67;359;0
49;887;1
51;318;0
58;572;0
24;724;1
51;686;1
21;552;0
21;521;0
97;554;0
39;555;0
55;858;1
27;793;0
52;249;0
56;720;1
45;754;1
99;450;0
44;648;1
42;369;0
68;670;0
24;869;1
86;769;1
91;524;0
46;478;0
34;958;1
33;553;0
