nem;kirlilik;ruzgar;sicaklik;basinc;yagmur
45;0.8;29;11;639;0
42;0.2;27;27;797;1
74;0.1;2;2;271;0
77;0.3;6;29;886;1
67;0.4;2;7;748;1
81;0.4;23;29;320;0
79;0.7;19;20;571;1
69;0.3;8;8;472;1
66;0.9;9;11;354;0
65;0.4;5;21;514;1
76;0.4;17;9;484;0
85;0.9;18;29;913;1
31;0.4;1;28;486;0
86;0.4;14;30;599;0
58;0.8;16;18;582;0
85;0.7;3;4;414;0
100;0.8;27;24;513;0
76;0.7;12;15;779;1
94;0.2;2;14;821;1
63;0.8;23;16;673;1
39;0.9;16;25;654;1
22;0.6;29;10;939;1
23;0.7;15;7;855;0
54;0.1;3;7;630;1
70;0.4;23;1;700;1
26;0.2;7;11;694;0
89;0.4;16;19;569;1
66;0.5;15;24;241;0
29;0.9;27;19;747;1
63;0.7;30;15;806;1
34;0.5;20;8;930;1
53;0.4;12;23;248;0
80;0.5;5;5;602;1
42;0.7;13;22;624;0
88;0.5;1;23;582;0
30;0.1;29;6;572;1
50;0.6;8;15;487;0
93;0.4;26;1;426;0
90;0.2;28;7;357;0
99;0.8;18;9;523;0
33;0.4;20;23;470;0
86;0.1;15;9;558;1
47;0.3;6;3;963;1
31;0.8;12;28;842;1
55;0.9;22;5;637;0
89;0.7;7;12;304;0
27;0.7;4;10;967;1
75;0.7;19;12;205;0
27;0.1;19;27;413;0
88;0.2;21;13;266;0
32;0.5;16;12;593;0
34;0.8;23;27;626;0
26;0.4;18;3;422;0
94;0.3;29;17;550;0
60;0.6;8;12;515;0
49;0.7;17;21;538;0
81;0.7;26;3;465;0
28;0.5;1;7;312;0
42;0.9;11;3;682;1
31;0.5;25;20;223;0
73;0.2;8;7;383;0
26;0.3;8;27;590;0
89;0.5;29;12;591;0
63;0.2;7;11;529;1
53;0.8;6;13;203;0
21;0.2;6;6;392;0
37;0.8;25;26;613;1
54;0.5;25;26;809;1
34;0.3;22;15;534;1
79;0.5;5;10;249;0
56;0.7;22;10;815;1
66;0.4;24;28;530;0
40;0.9;3;19;944;1
34;0.1;22;19;277;0
87;0.7;5;8;937;1
20;0.2;29;27;574;0
83;0.1;3;17;231;0
99;0.4;28;27;544;0
73;0.9;23;19;913;1
91;0.9;23;7;215;0
81;0.7;24;8;401;0
39;0.1;14;28;476;0
62;0.2;21;5;320;0
78;0.6;1;30;449;1
56;0.9;16;22;756;1
78;0.5;26;15;901;1
